zip,csv,nrow,ncol
Aquaculture_2021.1.2.zip,AQUACULTURE_QUANTITY.csv,96308,8
Aquaculture_2021.1.2.zip,AQUACULTURE_VALUE.csv,74839,8
Aquaculture_2021.1.2.zip,CL_FI_COUNTRY_GROUPS.csv,275,34
Aquaculture_2021.1.2.zip,CL_FI_PRODENVIRONMENT.csv,4,5
Aquaculture_2021.1.2.zip,CL_FI_SPECIES_GROUPS.csv,12872,41
Aquaculture_2021.1.2.zip,CL_FI_SYMBOL.csv,7,5
Aquaculture_2021.1.2.zip,CL_FI_WATERAREA_GROUPS.csv,29,25
Aquaculture_2021.1.2.zip,FSJ_UNIT.csv,11,14
Capture_2021.1.2.zip,CAPTURE_QUANTITY.csv,1001899,7
GlobalProduction_2021.1.2.zip,CL_FI_PRODUCTION_SOURCE_DET.csv,5,6
GlobalProduction_2021.1.2.zip,GLOBAL_PRODUCTION_QUANTITY.csv,1098207,8
